age,annual_income,monthly_visits,device,region,customer_segment
67.0,88645.78,8.0,desktop,West,Premium
50.0,56544.45,6.0,mobile,North,Premium
53.0,48922.55,7.0,mobile,East,Regular
64.0,50620.78,8.0,mobile,East,Regular
48.0,51330.57,6.0,tablet,West,Regular
58.0,83525.04,4.0,tablet,West,Regular
61.0,65238.36,10.0,tablet,South,Regular
29.0,78136.55,4.0,desktop,North,Premium
20.0,12000.0,6.0,tablet,East,Budget
33.0,62203.84,6.0,mobile,South,Regular
32.0,76867.96,5.0,mobile,East,Regular
63.0,95155.46,5.0,desktop,South,Premium
65.0,56278.64,10.0,mobile,West,Regular
18.0,21355.81,5.0,mobile,East,Budget
43.0,67474.52,7.0,tablet,North,Regular
60.0,43715.66,5.0,tablet,South,Budget
24.0,19862.0,5.0,mobile,West,Budget
59.0,43326.39,7.0,mobile,East,Regular
24.0,76825.33,6.0,tablet,North,Regular
42.0,79744.74,9.0,desktop,East,Premium
60.0,70141.21,12.0,mobile,North,Premium
33.0,34752.28,7.0,mobile,North,Regular
35.0,106057.66,5.0,mobile,South,Budget
32.0,32333.94,10.0,desktop,East,Regular
55.0,54172.03,11.0,desktop,North,Premium
31.0,26832.67,4.0,desktop,East,Regular
69.0,82079.94,8.0,mobile,South,Regular
41.0,64660.36,11.0,tablet,South,Premium
42.0,73510.37,8.0,desktop,East,Premium
44.0,57558.75,6.0,mobile,West,Regular
48.0,,8.0,desktop,West,Regular
46.0,59252.93,7.0,tablet,East,Regular
44.0,18003.19,5.0,tablet,East,Budget
69.0,75657.36,3.0,mobile,West,Regular
59.0,74048.89,4.0,desktop,East,Regular
59.0,47938.5,3.0,desktop,North,Regular
54.0,55542.66,8.0,mobile,West,Regular
50.0,61792.27,4.0,mobile,North,Regular
35.0,87208.3,7.0,mobile,North,Premium
69.0,64450.1,7.0,mobile,South,Regular
42.0,56668.86,5.0,mobile,North,Regular
29.0,45644.13,4.0,mobile,South,Regular
61.0,25762.96,4.0,mobile,West,Budget
26.0,43914.07,3.0,desktop,West,Regular
62.0,57274.77,8.0,desktop,West,Regular
