annual_visits,avg_basket_size
93.6,1.0
20.5,43.95
61.6,1.0
32.1,14.79
28.0,5.88
70.8,3.38
77.8,22.85
13.4,7.37
26.8,2.58
104.4,53.05
15.0,1.0
37.5,31.15
98.5,65.6
100.5,49.16
91.0,51.37
16.7,2.91
43.6,46.29
79.6,13.07
73.6,41.21
109.4,34.87
74.2,6.75
76.5,21.53
12.6,1.0
71.0,1.0
26.8,36.29
85.8,18.79
86.2,19.18
17.6,45.59
77.6,11.75
27.2,49.3
97.1,43.47
8.4,1.0
90.4,11.08
32.8,42.77
83.3,7.97
31.8,1.0
35.1,51.99
30.3,26.53
83.9,49.79
70.0,4.61
85.9,43.7
96.7,45.06
91.8,21.58
22.9,5.07
93.7,15.82
27.4,38.63
90.4,42.76
20.7,48.84
28.3,1.0
67.2,15.51
106.7,63.26
8.5,6.46
26.0,2.29
30.9,42.81
82.3,9.12
21.9,1.0
12.5,1.82
12.6,39.07
28.6,35.93
82.1,4.35
71.5,49.02
24.4,11.45
29.9,1.0
92.0,38.3
68.0,44.4
88.5,44.95
18.5,2.85
84.2,44.71
88.0,8.7
92.6,35.65
84.3,40.89
77.6,15.96
90.9,34.37
91.6,17.83
11.2,1.0
89.7,5.63
34.2,44.33
66.7,11.37
20.0,1.0
16.9,8.19
52.6,1.0
32.2,47.08
70.2,34.68
89.4,34.49
81.7,10.22
77.0,14.85
82.9,46.86
26.5,10.21
86.2,51.74
81.5,16.93
85.7,53.08
91.2,50.25
89.8,24.39
37.4,31.13
30.9,48.92
106.8,34.56
80.6,59.31
91.9,7.3
32.9,29.8
24.5,2.26
17.0,35.67
77.7,34.71
17.2,39.74
6.6,1.0
88.9,46.75
106.7,30.1
24.4,34.75
19.9,1.0
86.2,3.29
18.9,44.53
27.3,9.19
89.0,48.1
69.2,11.49
82.8,17.43
31.3,32.73
70.3,34.18
84.0,6.57
19.3,1.0
76.4,11.45
73.3,38.42
69.7,5.23
16.1,1.0
89.9,40.38
17.8,9.61
114.3,55.9
76.0,42.94
70.8,22.5
70.0,30.81
95.4,28.43
24.2,35.67
34.7,37.68
31.6,38.87
41.9,32.14
71.5,12.89
27.8,30.18
84.0,58.89
18.6,27.06
12.5,8.0
39.3,36.01
22.4,54.49
92.9,37.39
28.7,4.82
85.7,4.52
92.1,1.0
75.9,51.19
89.8,52.65
27.6,25.1
70.0,20.21
83.3,57.2
28.1,33.11
20.0,45.4
89.6,55.15
100.3,59.7
64.7,9.23
21.9,1.0
76.2,1.19
88.1,10.89
83.6,71.37
24.0,57.66
31.5,45.48
17.3,1.0
24.4,26.32
19.3,10.29
85.3,43.85
82.9,34.72
74.5,37.5
74.2,16.39
89.3,43.66
26.8,43.84
34.9,47.3
20.7,1.0
24.4,18.92
78.3,17.8
81.2,1.0
115.2,28.88
27.8,38.51
71.1,18.06
20.8,3.37
40.9,49.24
106.6,58.27
30.6,36.33
87.0,30.46
16.1,1.0
23.2,33.59
76.9,6.06
18.6,3.34
22.1,1.0
13.2,31.0
12.6,1.0
23.5,5.35
72.1,16.03
32.2,35.25
20.2,1.0
100.2,37.76
32.4,40.16
77.4,18.61
16.6,10.12
19.3,1.0
32.7,51.75
23.8,1.0
23.9,5.23
88.9,40.47
100.9,49.63
88.5,43.7
16.4,48.85
18.5,41.19
83.6,31.19
91.1,48.69
28.2,41.24
44.5,41.97
87.6,11.37
88.3,47.08
35.5,32.84
92.1,48.35
83.7,12.88
31.3,37.87
92.5,53.48
16.1,10.26
93.7,53.58
17.6,6.15
18.1,1.0
40.6,45.41
15.8,3.01
83.3,50.12
91.3,23.83
79.1,58.84
13.4,1.0
86.5,4.31
87.1,16.76
20.8,2.37
23.0,39.38
24.4,39.91
16.9,2.67
22.8,34.18
87.6,20.86
31.1,34.96
71.1,4.85
85.2,17.57
83.3,16.32
19.2,1.67
33.3,23.78
99.4,43.17
87.9,11.96
37.8,39.53
21.3,1.0
33.0,41.69
25.6,5.81
82.8,35.55
82.9,8.76
77.1,3.6
93.1,24.37
16.5,6.75
104.0,46.65
19.7,41.12
21.1,3.15
74.3,45.91
74.7,1.6
89.4,35.47
14.5,9.69
12.0,1.72
73.1,59.78
42.0,28.46
77.0,9.03
85.5,19.62
30.1,38.08
14.1,3.94
87.6,2.96
82.7,17.57
90.4,43.11
21.3,1.0
84.4,33.13
75.8,46.05
21.2,1.0
93.4,59.81
98.5,34.67
18.4,1.0
31.6,37.73
88.4,1.0
68.2,10.78
33.0,31.81
90.5,19.5
23.2,40.69
25.3,1.0
91.6,37.4
84.6,21.13
19.0,1.32
92.5,53.52
38.4,40.33
67.4,39.46
89.1,38.65
80.0,22.33
92.4,29.74
77.9,5.76
26.2,3.14
96.3,47.27
68.1,17.69
33.7,40.93
17.0,10.05
103.2,23.13
85.4,43.7
85.4,71.74
67.4,23.73
96.2,61.62
21.2,44.33
91.6,10.72
98.8,13.15
34.8,44.85
35.4,51.35
93.7,37.48
98.1,55.67
14.5,6.38
49.2,29.93
66.4,24.57
89.1,19.9
37.8,28.47
69.1,45.25
35.1,41.97
93.7,59.83
44.6,50.43
76.9,26.15
43.7,23.9
79.9,18.68
83.1,34.65
78.2,6.66
84.7,1.0
29.1,38.98
88.4,7.36
30.4,38.01
27.0,36.63
15.5,1.0
82.4,30.73
28.9,9.38
88.7,45.37
94.9,22.48
26.1,44.4
105.4,50.11
84.5,7.4
79.9,14.66
85.8,39.45
1.8,1.0
37.7,33.97
34.3,34.3
82.7,1.0
112.8,61.05
23.1,1.0
74.8,1.01
21.4,42.98
30.6,35.13
32.0,52.58
23.1,1.0
72.7,17.5
126.5,52.68
25.1,5.05
96.7,46.06
19.2,1.0
89.4,11.66
89.8,69.93
88.1,38.62
30.1,35.27
83.9,15.11
29.0,42.85
101.7,16.86
14.9,1.0
26.0,3.59
85.7,32.63
36.1,45.74
20.8,53.96
65.3,18.98
21.5,37.28
39.1,22.77
89.1,35.92
85.1,34.66
85.5,1.0
61.3,12.17
27.2,1.0
79.3,5.82
32.0,43.21
12.7,1.0
93.5,36.95
89.3,34.67
83.1,9.48
94.1,54.13
27.7,1.0
