shape,texture,weight,size,label
0.637,-0.831,0.787,0.423,Watermelon
0.899,-0.136,-0.839,-0.294,Grape
1.062,1.857,-0.238,-0.292,Apple
0.552,-0.611,-0.476,-0.426,Orange
1.448,-0.595,0.096,-0.327,Orange
0.582,-1.021,-0.326,0.044,Lemon
1.129,-0.309,1.314,0.918,Watermelon
1.29,-0.003,-0.301,-0.585,Grape
-0.991,0.924,-0.798,0.886,Banana
1.152,-0.841,1.018,0.885,Watermelon
0.943,1.047,0.301,-0.384,Apple
0.618,-1.303,-0.349,-0.022,Lemon
1.569,-0.529,-0.799,-1.054,Grape
1.185,-0.49,-0.98,-0.952,Grape
1.158,-0.703,-1.085,-0.402,Grape
1.949,-1.022,-1.441,-1.335,Grape
0.964,1.314,-0.093,-0.24,Apple
1.185,-1.242,0.915,0.993,Watermelon
0.046,-1.406,-0.993,-0.233,Lemon
1.086,-0.786,-0.944,-0.719,Orange
1.232,0.027,0.129,-0.938,Apple
1.295,-1.311,0.067,0.923,Orange
-1.796,1.243,-1.633,0.449,Banana
0.528,-0.955,-0.919,-0.227,Lemon
0.493,-0.165,-1.143,-1.491,Grape
1.558,0.976,0.368,0.127,Apple
0.721,-1.03,-0.258,0.334,Orange
1.153,-0.538,-1.07,-1.018,Grape
1.457,1.001,-0.438,-0.498,Apple
0.806,-1.491,-0.563,0.324,Orange
0.928,-0.753,-1.168,-0.001,Orange
-1.056,0.831,-0.937,0.126,Banana
0.257,-0.677,1.085,0.89,Watermelon
0.662,0.486,-0.222,0.265,Apple
0.671,-1.484,-0.521,-0.519,Lemon
1.302,-0.788,-0.045,1.191,Watermelon
0.249,-1.498,-0.666,-0.356,Lemon
0.426,-0.353,-0.733,-0.984,Grape
-1.304,0.657,-0.641,-0.229,Banana
1.373,0.942,-0.334,-0.898,Apple
0.949,-0.785,0.532,1.175,Watermelon
1.031,-0.825,-0.701,-1.771,Grape
1.121,-0.033,-0.496,-0.864,Grape
0.894,-1.223,-0.406,-0.01,Orange
0.717,-0.735,1.747,0.978,Watermelon
0.129,-1.471,-0.328,-0.521,Lemon
1.307,-1.187,-0.009,-0.255,Orange
0.344,-1.14,-1.019,0.196,Lemon
0.966,-0.374,-1.188,-1.368,Grape
0.918,-0.215,-1.182,-1.305,Grape
1.054,-0.425,-0.425,-0.876,Grape
-0.775,1.252,-1.404,-0.037,Banana
0.621,-1.466,-0.022,-0.098,Orange
1.028,-1.907,0.419,-0.513,Orange
1.718,-1.507,-0.584,-0.971,Orange
1.127,-1.385,0.624,0.52,Watermelon
1.272,1.249,0.334,-0.54,Apple
1.077,-1.451,0.883,0.818,Watermelon
1.163,-0.244,-0.653,-1.295,Grape
1.349,-0.615,-1.114,-1.248,Grape
0.404,-0.39,-0.492,-0.439,Lemon
0.908,0.256,-0.543,-1.252,Grape
0.904,-1.075,-0.249,-0.445,Orange
0.754,-0.492,-1.06,-0.895,Lemon
0.831,-1.153,0.399,0.151,Orange
-0.669,0.907,-1.1,-0.208,Banana
0.874,-0.828,-0.15,-0.574,Lemon
0.95,-0.94,0.012,-0.715,Orange
1.258,-1.007,0.629,0.27,Watermelon
